EventID,"actor_name","attack_enterprise_technique","attack_ics_technique",count,"enterprise_ttp"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",CHERNOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",CHERNOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",CHERNOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",CHERNOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",CHERNOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",CHRYSENE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",DYMALLOY,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",HEXANE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",KAMACITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",KOSTOVITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",PARISITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",RASPITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",STIBNITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",TALONITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4610|An authentication package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4611|A trusted logon process has been registered with the Local Security Authority.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4614|A notification package has been loaded by the Security Account Manager.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4622|A security package has been loaded by the Local Security Authority.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4625|An account failed to log on.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4673|A privileged service was called.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4674|An operation was attempted on a privileged object.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4703|A token right was adjusted.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
"4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing",VANADINITE,"T1078.002 Domain Accounts","T0859 Valid Accounts",1,"T1078.002"
