title,"mitre_string",id,description,source
"Java Class File download by Java User Agent",T1190,"8281ce42-5c50-11ec-82d2-acde48001122","The following analytic identifies a Java user agent performing a GET
  request for a .class file from the remote site. This is potentially indicative of
  exploitation of the Java application and may be related to current event CVE-2021-44228
  (Log4Shell).
","detections\endpoint\java_class_file_download_by_java_user_agent.yml"
"Java Writing JSP File",T1190,"eb65619c-4f8d-4383-a975-d352765d344b","The following analytic identifies the process java writing a .jsp to disk. This is potentially indicative of a web shell being written to disk. 
  Modify and tune the analytic based on data ingested. For instance, it may be worth running a broad query for jsp file writes first before performing a join.
","detections\endpoint\java_writing_jsp_file.yml"
"Jscript Execution Using Cscript App","T1059|T1059.007","002f1e24-146e-11ec-a470-acde48001122","This search is to detect a execution of jscript using cscript process.
  Commonly when a user run jscript file it was executed by wscript.exe application.
  This technique was seen in FIN7 js implant to execute its malicious script using
  cscript process. This behavior is uncommon and a good artifacts to check further
  anomalies within the network
","detections\endpoint\jscript_execution_using_cscript_app.yml"
"Linux Account Manipulation Of SSH Config and Keys","T1485|T1070.004|T1070","73a56508-1cf5-4df7-b8d9-5737fbdc27d2","This analytic is to detect a deletion of ssh key in a linux machine.
  attacker may delete or modify ssh key to impair some security features or act as defense evasion in compromised linux machine.
  This Anomaly can be also a good indicator of a malware trying to wipe or delete several files in a compromised host as part of its destructive payload like what
  acidrain malware does in linux or router machines. This detection can be a good pivot to check what process and user
  tries to delete this type of files which is not so common and need further investigation.
","detections\endpoint\linux_account_manipulation_of_ssh_config_and_keys.yml"
"Linux DD File Overwrite",T1485,"9b6aae5e-8d85-11ec-b2ae-acde48001122","This analytic is to look for dd command to overwrite file. This technique
  was abused by adversaries or threat actor to destroy files or data on specific system
  or in a large number of host within network to interrupt host avilability, services
  and many more. This is also used to destroy data where it make the file irrecoverable
  by forensic techniques through overwriting files, data or local and remote drives.
","detections\endpoint\linux_dd_file_overwrite.yml"
"Linux Deleting Critical Directory Using RM Command",T1485,"33f89303-cc6f-49ad-921d-2eaea38a6f7a","The following analytic identifies a suspicious deletion of a critical folder in Linux machine using rm command. 
  This technique was seen in industroyer2 campaign to wipe or destroy energy facilities of a targeted sector. Deletion in these list of folder 
  is not so common since it need some elevated privileges to access some of it. We recommend to look further events specially in file access or file deletion, 
  process commandline that may related to this technique.
","detections\endpoint\linux_deleting_critical_directory_using_rm_command.yml"
"Linux Deletion Of Cron Jobs","T1485|T1070.004|T1070","3b132a71-9335-4f33-9932-00bb4f6ac7e8","This analytic is to detect a deletion of cron job in a linux machine. 
  This technique can be related to an attacker, threat actor or malware to disable scheduled cron jobs that might be related to security or 
  to evade some detections. We also saw that this technique can be a good indicator for malware that is trying to wipe or delete several files on the compromised host 
  like the acidrain malware. This anomaly detection can be a good pivot detection to look for process and user doing it why they doing. Take note that this event can be done 
  by administrator so filtering on those possible false positive event is needed.
","detections\endpoint\linux_deletion_of_cron_jobs.yml"
"Linux Deletion Of Init Daemon Script","T1485|T1070.004|T1070","729aab57-d26f-4156-b97f-ab8dda8f44b1","This analytic is to detect a deletion of init daemon script in a linux machine.
  daemon script that place in /etc/init.d/ is a directory that can start and stop some daemon services in linux machines. 
  attacker may delete or modify daemon script to impair some security features or act as defense evasion in a compromised linux machine. 
  This TTP can be also a good indicator of a malware trying to wipe or delete several files in compromised host as part of its destructive payload like what 
  acidrain malware does in linux or router machines. This detection can be a good pivot to check what process and user 
  tries to delete this type of files which is not so common and need further investigation.
","detections\endpoint\linux_deletion_of_init_daemon_script.yml"
"Linux Deletion Of Services","T1485|T1070.004|T1070","b509bbd3-0331-4aaa-8e4a-d2affe100af6","This analytic is to detect a deletion of services in a linux machine.
  attacker may delete or modify services to impair some security features or act as defense evasion in a compromised linux machine. 
  This TTP can be also a good indicator of a malware trying to wipe or delete several files in a compromised host as part of its destructive payload like what 
  acidrain malware does in linux or router machines. This detection can be a good pivot to check what process and user 
  tries to delete this type of files which is not so common and need further investigation.
","detections\endpoint\linux_deletion_of_services.yml"
"Linux Disable Services",T1489,"f2e08a38-6689-4df4-ad8c-b51c16262316","The following analytic is to detect events that attempts to disable a service. 
  This is typically identified in parallel with other instances of service enumeration of 
  attempts to stop a service and then delete it. Adversaries utilize this technique like industroyer2 
  malware to terminate security services or other related services to continue there objective as a destructive payload.
","detections\endpoint\linux_disable_services.yml"
"Linux High Frequency Of File Deletion In Boot Folder","T1485|T1070.004|T1070","e27fbc5d-0445-4c4a-bc39-87f060d5c602","This analytic is to detect a high frequency of file deletion relative to process name and process id /boot/ folder. 
  These events was seen in industroyer2 wiper malware where it tries to delete all files in a critical directory in linux directory.
  This detection already contains some filter that might cause false positive during our testing.
","detections\endpoint\linux_high_frequency_of_file_deletion_in_boot_folder.yml"
"Linux High Frequency Of File Deletion In Etc Folder","T1485|T1070.004|T1070","9d867448-2aff-4d07-876c-89409a752ff8","This analytic is to detect a high frequency of file deletion relative to process name and process id /etc/ folder. 
  These events was seen in acidrain wiper malware where it tries to delete all files in a non-standard directory in linux directory.
  This detection already contains some filter that might cause false positive during our testing. But we recommend to add more filter if needed.
","detections\endpoint\linux_high_frequency_of_file_deletion_in_etc_folder.yml"
"Linux Java Spawning Shell",T1190,"7b09db8a-5c20-11ec-9945-acde48001122","The following analytic identifies the process name of Java, Apache, or
  Tomcat spawning a Linux shell. This is potentially indicative of exploitation of
  the Java application and may be related to current event CVE-2021-44228 (Log4Shell).
  The shells included in the macro are ""sh"", ""ksh"", ""zsh"", ""bash"", ""dash"", ""rbash"",
  ""fish"", ""csh', ""tcsh', ""ion"", ""eshell"". Upon triage, review parallel processes and
  command-line arguments to determine legitimacy.
","detections\endpoint\linux_java_spawning_shell.yml"
"Linux Kworker Process In Writable Process Path","T1036.004|T1036","1cefb270-74a5-4e27-aa0c-2b6fa7c5b4ed"," This analytic looks for suspicious process kworker commandline in a linux machine.
  kworker process name or thread are common names of kernel threads in linux process.
  This hunting detections can lead to investigate process contains process path in
  writable directory in linux like /home/, /var/log and /tmp/. This technique was seen
  in cyclopsblink malware to blend its core and other of its child process as normal
  kworker on the compromised machine. This detection might be a good pivot to look for
  other IOC related to cyclopsblink malware or attacks.
","detections\endpoint\linux_kworker_process_in_writable_process_path.yml"
"Linux pkexec Privilege Escalation",T1068,"03e22c1c-8086-11ec-ac2e-acde48001122","The following analytic identifies `pkexec` spawning with no command-line
  arguments. A vulnerability in Polkit's pkexec component identified as CVE-2021-4034
  (PwnKit) which is present in the default configuration of all major Linux distributions
  and can be exploited to gain full root privileges on the system.
","detections\endpoint\linux_pkexec_privilege_escalation.yml"
"F5 BIG-IP iControl REST Vulnerability CVE-2022-1388",T1190,"bb1c2c30-107a-4e56-a4b9-1f7022867bfe","The following analytic identifies a recent unauthenticated remote code execution vulnerablity against the F5 BIG-IP iControl REST API. The analytic identifies the URI path found in the POCs and the HTTP Method of POST.
  In addition, the request header will have the commands that may be executed in fields utilcmdargs and the auth field of X-F5-Auth-Token, which may have a random base64 encoded value.
","detections\network\f5_big_ip_icontrol_rest_vulnerability_cve_2022_1388.yml"
"Splunk Identified SSL TLS Certificates",T1040,"620fbb89-86fd-4e2e-925f-738374277586","The following analytic uses tags of SSL, TLS and certificate to identify the usage of the Splunk default certificates being utilized in the environment. Recommended guidance is to utilize valid TLS certificates which documentation may be found in Splunk Docs - https://docs.splunk.com/Documentation/Splunk/8.2.6/Security/AboutsecuringyourSplunkconfigurationwithSSL.
","detections\network\splunk_identified_ssl_tls_certificates.yml"
"Detect Outbound LDAP Traffic","T1190|T1059","5e06e262-d7cd-4216-b2f8-27b437e18458","Malicious actors often abuse misconfigured LDAP servers or applications
  that use the LDAP servers in organizations. Outbound LDAP traffic should not be
  allowed outbound through your perimeter firewall.  This search will help determine
  if you have any LDAP connections to IP addresses outside of private (RFC1918) address
  space.
","detections\network\detect_outbound_ldap_traffic.yml"
"Detect hosts connecting to dynamic domain providers",T1189,"a1e761ac-1344-4dbd-88b2-3f34c912d359","Malicious actors often abuse legitimate Dynamic DNS services to host
  malicious payloads or interactive command and control nodes. Attackers will automate
  domain resolution changes by routing dynamic domains to countless IP addresses to
  circumvent firewall blocks, block lists as well as frustrate a network defenders
  analytic and investigative processes. This search will look for DNS queries made
  from within your infrastructure to suspicious dynamic domains.
","detections\network\detect_hosts_connecting_to_dynamic_domain_providers.yml"
"Splunk XSS in Monitoring Console",T1189,"b11accac-6fa3-4103-8a1a-7210f1a67087","On May 3rd, 2022, Splunk published a security advisory for a reflective Cross-Site Scripting (XSS) vulnerability stemming from the lack of input validation in the Distributed Monitoring Console app. This detection will alert on attempted exploitation in patched versions of Splunk as well as actual exploitation in unpatched version of Splunk.
","detections\application\splunk_xss_in_monitoring_console.yml"
"Windows Security Account Manager Stopped",T1489,"69c12d59-d951-431e-ab77-ec426b8d65e6","The search looks for a Windows Security Account Manager (SAM) was stopped
  via command-line. This is consistent with Ryuk infections across a fleet of endpoints.
","detections\endpoint\windows_security_account_manager_stopped.yml"
"Windows System File on Disk",T1068,"993ce99d-9cdd-42c7-a2cf-733d5954e5a6","The following hunting analytic will assist with identifying new .sys files introduced in the environment. This query is meant to identify sys file creates on disk. There will be noise, but reducing common process names or applications should help to limit any volume.
  The idea is to identify new sys files written to disk and identify them before they're added as a new kernel mode driver.
","detections\endpoint\windows_system_file_on_disk.yml"
"Winword Spawning Cmd","T1566|T1566.001","6fcbaedc-a37b-11eb-956b-acde48001122","The following detection identifies Microsoft Word spawning `cmd.exe`.
  Typically, this is not common behavior and not default with winword.exe. Winword.exe
  will generally be found in the following path `C:\Program Files\Microsoft Office\root\Office16`
  (version will vary). Cmd.exe spawning from winword.exe is common for a spearphishing
  attachment and is actively used. Albeit, the command-line will indicate what is
  being executed. During triage, review parallel processes and identify any files
  that may have been written. It is possible that COM is utilized to trampoline the
  child process to `explorer.exe` or `wmiprvse.exe`.
","detections\endpoint\winword_spawning_cmd.yml"
"Winword Spawning PowerShell","T1566|T1566.001","b2c950b8-9be2-11eb-8658-acde48001122","The following detection identifies Microsoft Word spawning PowerShell.
  Typically, this is not common behavior and not default with winword.exe. Winword.exe
  will generally be found in the following path `C:\Program Files\Microsoft Office\root\Office16`
  (version will vary). PowerShell spawning from winword.exe is common for a spearphishing
  attachment and is actively used. Albeit, the command executed will most likely be
  encoded and captured via another detection. During triage, review parallel processes
  and identify any files that may have been written.
","detections\endpoint\winword_spawning_powershell.yml"
"Winword Spawning Windows Script Host","T1566|T1566.001","637e1b5c-9be1-11eb-9c32-acde48001122","The following detection identifies Microsoft Winword.exe spawning Windows
  Script Host - `cscript.exe` or `wscript.exe`. Typically, this is not common behavior
  and not default with Winword.exe. Winword.exe will generally be found in the following
  path `C:\Program Files\Microsoft Office\root\Office16` (version will vary). `cscript.exe`
  or `wscript.exe` default location is `c:\windows\system32\` or c:windows\syswow64\`.
  `cscript.exe` or `wscript.exe` spawning from Winword.exe is common for a spearphishing
  attachment and is actively used. Albeit, the command-line executed will most likely
  be obfuscated and captured via another detection. During triage, review parallel
  processes and identify any files that may have been written. Review the reputation
  of the remote destination and block accordingly.
","detections\endpoint\winword_spawning_windows_script_host.yml"
"WMI Recon Running Process Or Services",T1592,"b5cd5526-cce7-11eb-b3bd-acde48001122","The following analytic identifies suspicious PowerShell script execution
  via EventCode 4104, where WMI is performing an event query looking for running processes
  or running services. This technique is commonly found in malware and APT events
  where the adversary will map all running security applications or services on the
  compromised machine. During triage, review parallel processes within the same timeframe.
  Review the full script block to identify other related artifacts.
","detections\endpoint\wmi_recon_running_process_or_services.yml"
"Office Application Spawn rundll32 process","T1566|T1566.001","958751e4-9c5f-11eb-b103-acde48001122","this detection was designed to identifies suspicious spawned process
  of known MS office application due to macro or malicious code. this technique can
  be seen in so many malware like trickbot that used MS office as its weapon or attack
  vector to initially infect the machines.
","detections\endpoint\office_application_spawn_rundll32_process.yml"
"Linux Stop Services",T1489,"d05204a5-9f1c-4946-a7f3-4fa58d76d5fd","The following analytic is to detect events that attempt to stop or clear a service. 
  This is typically identified in parallel with other instances of service enumeration of 
  attempts to stop a service and then delete it. Adversaries utilize this technique like industroyer2 
  malware to terminate security services or other related services to continue there objective as a destructive payload.
","detections\endpoint\linux_stop_services.yml"
"MacOS LOLbin","T1059.004|T1059","58d270fb-5b39-418e-a855-4b8ac046805e","Detect multiple executions of Living off the Land (LOLbin) binaries in a
  short period of time. 
","detections\endpoint\macos_lolbin.yml"
"Log4Shell CVE-2021-44228 Exploitation","T1105|T1190|T1059","9be30d80-3a39-4df9-9102-64a467b24eac","This correlation find exploitation of Log4Shell CVE-2021-44228 against
  systems using detections from Splunk Security Content Analytic Story. It does this
  by calculating the distinct count of MITRE ATT&CK tactics from Log4Shell detections
  fired. If the count is larger than 2 or more distinct MITRE ATT&CK tactics we assume
  high problability of exploitation. The Analytic story breaks down into 3 major phases
  of a Log4Shell exploitation, specifically>
  Initial Payload delivery eg. `${jndi:ldap://PAYLOAD_INJECTED}`
  Call back to malicious LDAP server eg. Exploit.class 
  Post Exploitation Activity/Lateral
  Movement using Powershell or similar T1562.001 Each of these phases fall into different
  MITRE ATT&CK Tactics (Initial Access, Execution, Command and Control), by looking
  into 2 or more phases showing up in detections triggerd is how this correlation
  search finds exploitation. If we get a notable from this correlation search the
  best way to triage it is by investigating the affected systems against Log4Shell
  exploitation using Splunk SOAR playbooks.
","detections\endpoint\log4shell_cve_2021_44228_exploitation.yml"
"Network Connection Discovery With Arp",T1049,"ae008c0f-83bd-4ed4-9350-98d4328e15d2","This analytic looks for the execution of `arp.exe` utilized to get a
  listing of network connections on a compromised system. Red Teams and adversaries
  alike may use arp.exe for situational awareness and Active Directory Discovery.
","detections\endpoint\network_connection_discovery_arp.yml"
"Linux Shred Overwrite Command",T1485,"c1952cf1-643c-4965-82de-11c067cbae76","This analytic is to detect a shred process to overwrite a files in a linux machine.
  Shred Linux application is designed to overwrite file to hide its contents or make the deleted file un-recoverable.
  Weve seen this technique in industroyer2 malware that tries to wipe energy facilities of targeted sector as part of its destructive attack. 
  It might be some normal user may use this command for valid purposes but it is recommended to check what files, disk or folder it tries to shred 
  that might be good pivot for incident response in this type of destructive malware.
","detections\endpoint\linux_shred_overwrite_command.yml"
"Network Connection Discovery With Netstat",T1049,"2cf5cc25-f39a-436d-a790-4857e5995ede","This analytic looks for the execution of `netstat.exe` with command-line
  arguments utilized to get a listing of network connections on a compromised system.
  Red Teams and adversaries alike may use netstat.exe for situational awareness and
  Active Directory Discovery.
","detections\endpoint\network_connection_discovery_netstat.yml"
"Network Connection Discovery With Net",T1049,"640337e5-6e41-4b7f-af06-9d9eab5e1e2d","This analytic looks for the execution of `net.exe` with command-line
  arguments utilized to get a listing of network connections on a compromised system.
  Red Teams and adversaries alike may use net.exe for situational awareness and Active
  Directory Discovery.
","detections\endpoint\network_connection_discovery_net.yml"
"MS Scripting Process Loading Ldap Module","T1059|T1059.007","0b0c40dc-14a6-11ec-b267-acde48001122","This search is to detect a suspicious MS scripting process such as wscript.exe
  or cscript.exe that loading ldap module to process ldap query. This behavior was
  seen in FIN7 implant where it uses javascript to execute ldap query to parse host
  information that will send to its C2 server. this anomaly detections is a good initial
  step to hunt further a suspicious ldap query or ldap related events to the host
  that may give you good information regarding ldap or AD information processing or
  might be a attacker.
","detections\endpoint\ms_scripting_process_loading_ldap_module.yml"
"MS Scripting Process Loading WMI Module","T1059|T1059.007","2eba3d36-14a6-11ec-a682-acde48001122","This search is to detect a suspicious MS scripting process such as wscript.exe
  or cscript.exe that loading wmi module to process wmi query. This behavior was seen
  in FIN7 implant where it uses javascript to execute wmi query to parse host information
  that will send to its C2 server. this anomaly detections is a good initial step
  to hunt further a suspicious wmi query or wmi related events to the host that may
  give you good information regarding process that are commonly using wmi query or
  modules or might be an attacker using this technique.
","detections\endpoint\ms_scripting_process_loading_wmi_module.yml"
"Nishang PowershellTCPOneLine","T1059|T1059.001","1a382c6c-7c2e-11eb-ac69-acde48001122","This query detects the Nishang Invoke-PowerShellTCPOneLine utility that
  spawns a call back to a remote command and control server. This is a powershell
  oneliner. In addition, this will capture on the command-line additional utilities
  used by Nishang. Triage the endpoint and identify any parallel processes that look
  suspicious. Review the reputation of the remote IP or domain contacted by the powershell
  process.
","detections\endpoint\nishang_powershelltcponeline.yml"
"Malicious PowerShell Process With Obfuscation Techniques","T1059|T1059.001","cde75cf6-3c7a-4dd6-af01-27cdb4511fd4","This search looks for PowerShell processes launched with arguments that
  have characters indicative of obfuscation on the command-line.
","detections\endpoint\malicious_powershell_process_with_obfuscation_techniques.yml"
"Malicious PowerShell Process - Execution Policy Bypass","T1059|T1059.001","9be56c82-b1cc-4318-87eb-d138afaaca39","This search looks for PowerShell processes started with parameters used
  to bypass the local execution policy for scripts. These parameters are often observed
  in attacks leveraging PowerShell scripts as they override the default PowerShell
  execution policy.
","detections\endpoint\malicious_powershell_process___execution_policy_bypass.yml"
"Any Powershell DownloadFile","T1059|T1059.001|T1105","1a93b7ea-7af7-11eb-adb5-acde48001122","The following analytic identifies the use of PowerShell downloading a
  file using `DownloadFile` method. This particular method is utilized in many different
  PowerShell frameworks to download files and output to disk. Identify the source
  (IP/domain) and destination file and triage appropriately. If AMSI logging or PowerShell
  transaction logs are available, review for further details of the implant.
","detections\endpoint\any_powershell_downloadfile.yml"
"Any Powershell DownloadString","T1059|T1059.001|T1105","4d015ef2-7adf-11eb-95da-acde48001122","The following analytic identifies the use of PowerShell downloading a
  file using `DownloadString` method. This particular method is utilized in many different
  PowerShell frameworks to download files and output to disk. Identify the source
  (IP/domain) and destination file and triage appropriately. If AMSI logging or PowerShell
  transaction logs are available, review for further details of the implant.
","detections\endpoint\any_powershell_downloadstring.yml"
"Attacker Tools On Endpoint","T1036.005|T1036|T1003|T1595","a51bfe1a-94f0-48cc-b4e4-16a110145893","This search looks for execution of commonly used attacker tools on an
  endpoint.
","detections\endpoint\attacker_tools_on_endpoint.yml"
"Batch File Write to System32","T1204|T1204.002","503d17cb-9eab-4cf8-a20e-01d5c6987ae3","The search looks for a batch file (.bat) written to the Windows system
  directory tree.
","detections\endpoint\batch_file_write_to_system32.yml"
"Clear Unallocated Sector Using Cipher App","T1070.004|T1070","cd80a6ac-c9d9-11eb-8839-acde48001122","this search is to detect execution of `cipher.exe` to clear the unallocated
  sectors of a specific disk. This technique was seen in some ransomware to make it
  impossible to forensically recover deleted files.
","detections\endpoint\clear_unallocated_sector_using_cipher_app.yml"
"Clop Common Exec Parameter",T1204,"5a8a2a72-8322-11eb-9ee9-acde48001122","The following analytics are designed to identifies some CLOP ransomware
  variant that using arguments to execute its main code or feature of its code. In
  this variant if the parameter is ""runrun"", CLOP ransomware will try to encrypt files
  in network shares and if it is ""temp.dat"", it will try to read from some stream
  pipe or file start encrypting files within the infected local machines. This technique
  can be also identified as an anti-sandbox technique to make its code non-responsive
  since it is waiting for some parameter to execute properly.
","detections\endpoint\clop_common_exec_parameter.yml"
"Cmdline Tool Not Executed In CMD Shell","T1059|T1059.007","6c3f7dd8-153c-11ec-ac2d-acde48001122","The following analytic identifies a non-standard parent process (not
  matching CMD, PowerShell, or Explorer) spawning `ipconfig.exe` or `systeminfo.exe`.
  This particular behavior was seen in FIN7's JSSLoader .NET payload. This is also
  typically seen when an adversary is injected into another process performing different
  discovery techniques. This event stands out as a TTP since these tools are commonly
  executed with a shell application or Explorer parent, and not by another application.
  This TTP is a good indicator for an adversary gathering host information, but one
  possible false positive might be an automated tool used by a system administator.
","detections\endpoint\cmdline_tool_not_executed_in_cmd_shell.yml"
"CMD Carry Out String Command Parameter","T1059.003|T1059","54a6ed00-3256-11ec-b031-acde48001122","The following analytic identifies command-line arguments where `cmd.exe
  /c` is used to execute a program. `cmd /c` is used to run commands in MS-DOS and
  terminate after command or process completion. This technique is commonly seen in
  adversaries and malware to execute batch command using different shell like PowerShell
  or different process other than `cmd.exe`. This is a good hunting query for suspicious
  command-line made by a script or relative process execute it.
","detections\endpoint\cmd_carry_out_string_command_parameter.yml"
