EventID,"actor_name","attack_enterprise_technique","attack_ics_technique",count,"enterprise_ttp"
"4717|System security access was granted to an account.|Microsoft-Windows-Security-Auditing
4718|System security access was removed from an account.|Microsoft-Windows-Security-Auditing
4719|System audit policy was changed.|Microsoft-Windows-Security-Auditing
4722|A user account was enabled.|Microsoft-Windows-Security-Auditing
4723|An attempt was made to change an account's password.|Microsoft-Windows-Security-Auditing
4724|An attempt was made to reset an account's password.|Microsoft-Windows-Security-Auditing
4725|A user account was disabled.|Microsoft-Windows-Security-Auditing
4726|A user account was deleted.|Microsoft-Windows-Security-Auditing
4738|A user account was changed.|Microsoft-Windows-Security-Auditing
4740|A user account was locked out.|Microsoft-Windows-Security-Auditing
4742|A computer account was changed.|Microsoft-Windows-Security-Auditing
4743|A computer account was deleted.|Microsoft-Windows-Security-Auditing
4767|A user account was unlocked.|Microsoft-Windows-Security-Auditing
4781|The name of an account was changed.|Microsoft-Windows-Security-Auditing
5136|A directory service object was modified.|Microsoft-Windows-Security-Auditing
5139|A directory service object was moved.|Microsoft-Windows-Security-Auditing","CHERNOVITE
ELECTRUM
XENOTIME","T1531 Account Access Removal","T0827 Loss of Control",3,T1531
"11|FileCreate.|sysmon
1|Process Creation.|sysmon
23|File Delete archived.|sysmon
26|File Delete logged.|sysmon
2|A process changed a file creation time.|sysmon
4103|Module logging.|powershell
4660|An object was deleted.|Microsoft-Windows-Security-Auditing
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM
XENOTIME","T1485 Data Destruction","T0827 Loss of Control",3,T1485
"11|FileCreate.|sysmon
11|FileCreate|sysmon
1|Process Creation.|sysmon
2|A process changed a file creation time.|sysmon
4103|Module logging.|powershell
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM
XENOTIME","T1486 Data Encrypted for Impact","T0827 Loss of Control",3,T1486
"11|FileCreate.|sysmon
11|FileCreate|sysmon
23|File Delete archived.|sysmon
26|File Delete logged.|sysmon
2|A process changed a file creation time.|sysmon
4660|An object was deleted.|Microsoft-Windows-Security-Auditing
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM
XENOTIME","T1565 Data Manipulation","T0827 Loss of Control",3,T1565
"1|Process Creation.|sysmon
4103|Module logging.|powershell
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
6419|A request was made to disable a device.|Microsoft-Windows-Security-Auditing
6420|A device was disabled.|Microsoft-Windows-Security-Auditing
6421|A request was made to enable a device.|Microsoft-Windows-Security-Auditing
6422|A device was enabled.|Microsoft-Windows-Security-Auditing
6|Driver loaded.|sysmon
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM
XENOTIME","T1561 Disk Wipe","T0827 Loss of Control",3,T1561
"11|FileCreate.|sysmon
13|RegistryEvent (Value Set).|sysmon
14|RegistryEvent (Key and Value Rename).|sysmon
1|Process Creation.|sysmon
2|A process changed a file creation time.|sysmon
4103|Module logging.|powershell
4657|A registry value was modified.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
4689|A process has exited.|Microsoft-Windows-Security-Auditing
4|Sysmon service state changed.|sysmon
5|Process terminated.|sysmon
6005|The Event log service was started.|Eventlog / System
6006|The Event log service was stopped.|Eventlog / System
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM
XENOTIME","T1489 Service Stop","T0827 Loss of Control",3,T1489
"11|FileCreate.|sysmon
1|Process Creation.|sysmon
2|A process changed a file creation time.|sysmon
30|EventID(30)|Microsoft-Windows-LDAP-Client/Debug
4103|Module logging.|powershell
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
4697|A service was installed in the system.|Microsoft-Windows-Security-Auditing
4700|A scheduled task was enabled.|Microsoft-Windows-Security-Auditing
4701|A scheduled task was disabled.|Microsoft-Windows-Security-Auditing
4702|A scheduled task was updated.|Microsoft-Windows-Security-Auditing
4|Sysmon service state changed.|sysmon
5|Process terminated.|sysmon
6005|The Event log service was started.|Eventlog / System
6006|The Event log service was stopped.|Eventlog / System
7045|A new service was installed in the system.|Service Control Manager / System","ERYTHRITE
PETROVITE
XENOTIME","T1036 Masquerading","T0849 Masquerading",3,T1036
"1|Process Creation.|sysmon
4103|Module logging.|powershell
4104|Script Block Logging.|powershell
4656|A handle to an object was requested.|Microsoft-Windows-Security-Auditing
4661|A handle to an object was requested.|Microsoft-Windows-Security-Auditing
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing","ALLANITE
ELECTRUM","T1119 Automated Collection","T0802 Automated Collection",2,T1119
"4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing
4625|An account failed to log on.|Microsoft-Windows-Security-Auditing
4648|A logon was attempted using explicit credentials.|Microsoft-Windows-Security-Auditing
4776|The domain controller or local computer attempted to validate the credentials for an account.|Microsoft-Windows-Security-Auditing
4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing
4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing","CHERNOVITE
ELECTRUM","T1078.001 Valid Accounts: Default Accounts","T0812 Default Credentials",2,"T1078.001"
"4717|System security access was granted to an account.|Microsoft-Windows-Security-Auditing
4718|System security access was removed from an account.|Microsoft-Windows-Security-Auditing
4719|System audit policy was changed.|Microsoft-Windows-Security-Auditing
4722|A user account was enabled.|Microsoft-Windows-Security-Auditing
4723|An attempt was made to change an account's password.|Microsoft-Windows-Security-Auditing
4724|An attempt was made to reset an account's password.|Microsoft-Windows-Security-Auditing
4725|A user account was disabled.|Microsoft-Windows-Security-Auditing
4726|A user account was deleted.|Microsoft-Windows-Security-Auditing
4738|A user account was changed.|Microsoft-Windows-Security-Auditing
4740|A user account was locked out.|Microsoft-Windows-Security-Auditing
4742|A computer account was changed.|Microsoft-Windows-Security-Auditing
4743|A computer account was deleted.|Microsoft-Windows-Security-Auditing
4767|A user account was unlocked.|Microsoft-Windows-Security-Auditing
4781|The name of an account was changed.|Microsoft-Windows-Security-Auditing
5136|A directory service object was modified.|Microsoft-Windows-Security-Auditing
5139|A directory service object was moved.|Microsoft-Windows-Security-Auditing","CHERNOVITE
ELECTRUM","T1531 Account Access Removal","T0815 Denial of View",2,T1531
"11|FileCreate.|sysmon
1|Process Creation.|sysmon
23|File Delete archived.|sysmon
26|File Delete logged.|sysmon
2|A process changed a file creation time.|sysmon
4103|Module logging.|powershell
4660|An object was deleted.|Microsoft-Windows-Security-Auditing
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM","T1485 Data Destruction","T0815 Denial of View",2,T1485
"11|FileCreate.|sysmon
11|FileCreate|sysmon
1|Process Creation.|sysmon
2|A process changed a file creation time.|sysmon
4103|Module logging.|powershell
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM","T1486 Data Encrypted for Impact","T0815 Denial of View",2,T1486
"11|FileCreate.|sysmon
11|FileCreate|sysmon
23|File Delete archived.|sysmon
26|File Delete logged.|sysmon
2|A process changed a file creation time.|sysmon
4660|An object was deleted.|Microsoft-Windows-Security-Auditing
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM","T1565 Data Manipulation","T0815 Denial of View",2,T1565
"1|Process Creation.|sysmon
4103|Module logging.|powershell
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
6419|A request was made to disable a device.|Microsoft-Windows-Security-Auditing
6420|A device was disabled.|Microsoft-Windows-Security-Auditing
6421|A request was made to enable a device.|Microsoft-Windows-Security-Auditing
6422|A device was enabled.|Microsoft-Windows-Security-Auditing
6|Driver loaded.|sysmon
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM","T1561 Disk Wipe","T0815 Denial of View",2,T1561
"11|FileCreate.|sysmon
13|RegistryEvent (Value Set).|sysmon
14|RegistryEvent (Key and Value Rename).|sysmon
1|Process Creation.|sysmon
2|A process changed a file creation time.|sysmon
4103|Module logging.|powershell
4657|A registry value was modified.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
4689|A process has exited.|Microsoft-Windows-Security-Auditing
4|Sysmon service state changed.|sysmon
5|Process terminated.|sysmon
6005|The Event log service was started.|Eventlog / System
6006|The Event log service was stopped.|Eventlog / System
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM","T1489 Service Stop","T0815 Denial of View",2,T1489
"1100|The event logging service has shut down.|Microsoft-Windows-Eventlog
1101|Audit events have been dropped by the transport.|Microsoft-Windows-Eventlog
1102|The audit log was cleared.|Microsoft-Windows-Eventlog
1104|The security Log is now full.|Microsoft-Windows-Eventlog
1|Process Creation.|sysmon
4103|Module logging.|powershell
4616|The system time was changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
4|Sysmon service state changed.|sysmon
6005|The Event log service was started.|Eventlog / System
6006|The Event log service was stopped.|Eventlog / System
8|CreateRemoteThread.|sysmon","CHERNOVITE
ELECTRUM","T1529 System Shutdown/Reboot","T0816 Device Restart/Shutdown",2,T1529
"1|Process Creation.|sysmon
4103|Module logging.|powershell
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon","KAMACITE
KOSTOVITE","T1049 System Network Connections Discovery","T0840 Network Connection Enumeration",2,T1049
"11|FileCreate.|sysmon
2|A process changed a file creation time.|sysmon
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
6419|A request was made to disable a device.|Microsoft-Windows-Security-Auditing
6420|A device was disabled.|Microsoft-Windows-Security-Auditing
6421|A request was made to enable a device.|Microsoft-Windows-Security-Auditing
6422|A device was enabled.|Microsoft-Windows-Security-Auditing","CHERNOVITE
XENOTIME","T1014 Rootkit","T0851 Rootkit",2,T1014
"4717|System security access was granted to an account.|Microsoft-Windows-Security-Auditing
4718|System security access was removed from an account.|Microsoft-Windows-Security-Auditing
4719|System audit policy was changed.|Microsoft-Windows-Security-Auditing
4722|A user account was enabled.|Microsoft-Windows-Security-Auditing
4723|An attempt was made to change an account's password.|Microsoft-Windows-Security-Auditing
4724|An attempt was made to reset an account's password.|Microsoft-Windows-Security-Auditing
4725|A user account was disabled.|Microsoft-Windows-Security-Auditing
4726|A user account was deleted.|Microsoft-Windows-Security-Auditing
4738|A user account was changed.|Microsoft-Windows-Security-Auditing
4740|A user account was locked out.|Microsoft-Windows-Security-Auditing
4742|A computer account was changed.|Microsoft-Windows-Security-Auditing
4743|A computer account was deleted.|Microsoft-Windows-Security-Auditing
4767|A user account was unlocked.|Microsoft-Windows-Security-Auditing
4781|The name of an account was changed.|Microsoft-Windows-Security-Auditing
5136|A directory service object was modified.|Microsoft-Windows-Security-Auditing
5139|A directory service object was moved.|Microsoft-Windows-Security-Auditing",ELECTRUM,"T1531 Account Access Removal","T0809 Data Destruction",1,T1531
"11|FileCreate.|sysmon
1|Process Creation.|sysmon
23|File Delete archived.|sysmon
26|File Delete logged.|sysmon
2|A process changed a file creation time.|sysmon
4103|Module logging.|powershell
4660|An object was deleted.|Microsoft-Windows-Security-Auditing
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon",ELECTRUM,"T1485 Data Destruction","T0809 Data Destruction",1,T1485
"11|FileCreate.|sysmon
11|FileCreate|sysmon
1|Process Creation.|sysmon
2|A process changed a file creation time.|sysmon
4103|Module logging.|powershell
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon",ELECTRUM,"T1486 Data Encrypted for Impact","T0809 Data Destruction",1,T1486
"11|FileCreate.|sysmon
11|FileCreate|sysmon
23|File Delete archived.|sysmon
26|File Delete logged.|sysmon
2|A process changed a file creation time.|sysmon
4660|An object was deleted.|Microsoft-Windows-Security-Auditing
4663|An attempt was made to access an object.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon",ELECTRUM,"T1565 Data Manipulation","T0809 Data Destruction",1,T1565
"1|Process Creation.|sysmon
4103|Module logging.|powershell
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
6419|A request was made to disable a device.|Microsoft-Windows-Security-Auditing
6420|A device was disabled.|Microsoft-Windows-Security-Auditing
6421|A request was made to enable a device.|Microsoft-Windows-Security-Auditing
6422|A device was enabled.|Microsoft-Windows-Security-Auditing
6|Driver loaded.|sysmon
8|CreateRemoteThread.|sysmon",ELECTRUM,"T1561 Disk Wipe","T0809 Data Destruction",1,T1561
"11|FileCreate.|sysmon
13|RegistryEvent (Value Set).|sysmon
14|RegistryEvent (Key and Value Rename).|sysmon
1|Process Creation.|sysmon
2|A process changed a file creation time.|sysmon
4103|Module logging.|powershell
4657|A registry value was modified.|Microsoft-Windows-Security-Auditing
4670|Permissions on an object were changed.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
4689|A process has exited.|Microsoft-Windows-Security-Auditing
4|Sysmon service state changed.|sysmon
5|Process terminated.|sysmon
6005|The Event log service was started.|Eventlog / System
6006|The Event log service was stopped.|Eventlog / System
8|CreateRemoteThread.|sysmon",ELECTRUM,"T1489 Service Stop","T0809 Data Destruction",1,T1489
"1|Process Creation.|sysmon
3|Network connection.|sysmon
4624|An account was successfully logged on.|Microsoft-Windows-Security-Auditing
4688|A new process has been created.|Microsoft-Windows-Security-Auditing
4778|A session was reconnected to a Window Station.|Microsoft-Windows-Security-Auditing
4964|Special groups have been assigned to a new logon.|Microsoft-Windows-Security-Auditing
5031|The Windows Firewall Service blocked an application from accepting incoming connections on the network.|Microsoft-Windows-Security-Auditing
5154|The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5155|The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.|Microsoft-Windows-Security-Auditing
5156|The Windows Filtering Platform has permitted a connection.|Microsoft-Windows-Security-Auditing
5157|The Windows Filtering Platform has blocked a connection.|Microsoft-Windows-Security-Auditing
5158|The Windows Filtering Platform has permitted a bind to a local port.|Microsoft-Windows-Security-Auditing
5159|The Windows Filtering Platform has blocked a bind to a local port.|Microsoft-Windows-Security-Auditing
8|CreateRemoteThread.|sysmon",ELECTRUM,"T1021.005 Remote Services: VNC","T0823 Graphical User Interface",1,"T1021.005"
